Season,Date,GameID,posteam,DefensiveTeam,qtr,down,ydstogo,yrdline100,PlayType,Yards.Gained,PassLocation,RunLocation,RushAttempt,PassAttempt,QBHit,Touchdown,Fumble,InterceptionThrown,Accepted.Penalty,Penalty.Yards,PenaltyType,PenalizedTeam,PenaltySide
2009,2009-09-20,2009092011,CHI,PIT,3,3.0,13,78.0,Run,5,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,4.0,8,73.0,Punt,10,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,72.0,Pass,7,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,2.0,3,65.0,Run,0,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,3.0,3,65.0,Pass,13,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,52.0,Pass,29,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,23.0,Pass,8,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,2.0,2,15.0,Pass,6,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,9,9.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,2.0,9,9.0,Run,2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,3.0,7,7.0,Pass,7,middle,,0,1,0,1,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,67.0,Pass,12,left,,0,1,0,0,1,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,45.0,Pass,5,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,2.0,5,40.0,Run,1,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,3.0,4,39.0,Pass,5,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,34.0,Run,4,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,2.0,6,30.0,Run,3,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,3.0,3,27.0,Run,1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,4.0,2,26.0,Field Goal,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,4,1.0,10,33.0,QB Kneel,-1,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,1.0,10,40.0,Run,2,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,2.0,8,38.0,Run,3,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,3.0,5,35.0,Pass,0,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,4.0,5,35.0,Field Goal,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,1.0,10,79.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,2.0,10,79.0,Pass,14,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,1.0,10,65.0,Run,2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,2.0,13,68.0,Run,10,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,3.0,3,58.0,Pass,19,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,1.0,30,59.0,Pass,11,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,2.0,19,48.0,Pass,31,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,1.0,10,17.0,Pass,0,right,,0,1,0,0,0,1,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,1.0,10,80.0,Run,2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,1,2.0,8,78.0,Run,6,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,3.0,2,72.0,Run,-2,,right,1,0,0,0,1,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,4.0,4,74.0,Punt,0,,,0,0,0,0,0,0,1,10,UNKNOWN,SEA,Defensive
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,10,72.0,Pass,6,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,2.0,4,66.0,Run,-1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,3.0,5,67.0,Pass,5,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-27,2009092710,CHI,SEA,2,1.0,10,62.0,Pass,5,left,,0,1,0,0,0,0,0,0,,,None
